scope,model,replica,seed,metric,compute_pc_value,local_value,absolute_difference,tolerance,status
n3_summary,M3_SYM,,,peak_strain_percent_mean,18.520000000000035,18.520000000000035,0.0,1e-06,PASS
n3_summary,M3_SYM,,,peak_strain_percent_sample_SD,0.5150728103871346,0.5150728103871346,0.0,1e-06,PASS
n3_summary,M3_SYM,,,peak_strain_percent_min,18.0,18.0,0.0,1e-06,PASS
n3_summary,M3_SYM,,,peak_strain_percent_max,19.0300000000002,19.0300000000002,0.0,1e-06,PASS
n3_summary,M3_SYM,,,peak_strain_percent_CV,0.027811706824359267,0.027811706824359267,0.0,1e-06,PASS
n3_summary,M3_SYM,,,F50_raw_first_row_percent_mean,18.9066666666667,18.9066666666667,0.0,1e-06,PASS
n3_summary,M3_SYM,,,F50_raw_first_row_percent_sample_SD,0.5001333155603933,0.5001333155603933,0.0,1e-06,PASS
n3_summary,M3_SYM,,,F50_raw_first_row_percent_min,18.4,18.4,0.0,1e-06,PASS
n3_summary,M3_SYM,,,F50_raw_first_row_percent_max,19.4000000000002,19.4000000000002,0.0,1e-06,PASS
n3_summary,M3_SYM,,,F50_raw_first_row_percent_CV,0.02645274941257365,0.02645274941257365,0.0,1e-06,PASS
n3_summary,M4_RATIO,,,sigma15_GPa_mean,7.855654316774967,7.855654316774967,0.0,1e-06,PASS
n3_summary,M4_RATIO,,,sigma15_GPa_sample_SD,0.03900277775655973,0.03900277775655973,0.0,1e-06,PASS
n3_summary,M4_RATIO,,,sigma15_GPa_min,7.8232363935720315,7.8232363935720315,0.0,1e-06,PASS
n3_summary,M4_RATIO,,,sigma15_GPa_max,7.898937719536577,7.898937719536577,0.0,1e-06,PASS
n3_summary,M4_RATIO,,,sigma15_GPa_CV,0.0049649305053142655,0.0049649305053142655,0.0,1e-06,PASS
n3_summary,M4_RATIO,,,peak_stress_GPa_mean,8.749376531265805,8.749376531265805,0.0,1e-06,PASS
n3_summary,M4_RATIO,,,peak_stress_GPa_sample_SD,0.11790643070843841,0.11790643070843841,0.0,1e-06,PASS
n3_summary,M4_RATIO,,,peak_stress_GPa_min,8.68045705487977,8.68045705487977,0.0,1e-06,PASS
n3_summary,M4_RATIO,,,peak_stress_GPa_max,8.88551962961873,8.88551962961873,0.0,1e-06,PASS
n3_summary,M4_RATIO,,,peak_stress_GPa_CV,0.013475980864133694,0.013475980864133694,0.0,1e-06,PASS
n3_summary,M4_RATIO,,,peak_strain_percent_mean,17.956666666666568,17.956666666666568,0.0,1e-06,PASS
n3_summary,M4_RATIO,,,peak_strain_percent_sample_SD,0.33650160970372306,0.33650160970372306,0.0,1e-06,PASS
n3_summary,M4_RATIO,,,peak_strain_percent_min,17.7100000000002,17.7100000000002,0.0,1e-06,PASS
n3_summary,M4_RATIO,,,peak_strain_percent_max,18.3399999999997,18.3399999999997,0.0,1e-06,PASS
n3_summary,M4_RATIO,,,peak_strain_percent_CV,0.01873964783945006,0.01873964783945006,0.0,1e-06,PASS
n3_summary,M4_RATIO,,,F50_raw_first_row_percent_mean,18.3299999999999,18.3299999999999,0.0,1e-06,PASS
n3_summary,M4_RATIO,,,F50_raw_first_row_percent_sample_SD,0.2986636904611581,0.2986636904611581,0.0,1e-06,PASS
n3_summary,M4_RATIO,,,F50_raw_first_row_percent_min,18.1100000000002,18.1100000000002,0.0,1e-06,PASS
n3_summary,M4_RATIO,,,F50_raw_first_row_percent_max,18.6699999999997,18.6699999999997,0.0,1e-06,PASS
n3_summary,M4_RATIO,,,F50_raw_first_row_percent_CV,0.0162937092450169,0.0162937092450169,0.0,1e-06,PASS
n3_summary,M4_SYM,,,sigma15_GPa_mean,7.967336942981861,7.967336942981861,0.0,1e-06,PASS
n3_summary,M4_SYM,,,sigma15_GPa_sample_SD,0.009288523968406378,0.009288523968406378,0.0,1e-06,PASS
n3_summary,M4_SYM,,,sigma15_GPa_min,7.956687790936424,7.956687790936424,0.0,1e-06,PASS
n3_summary,M4_SYM,,,sigma15_GPa_max,7.973767569657369,7.973767569657369,0.0,1e-06,PASS
n3_summary,M4_SYM,,,sigma15_GPa_CV,0.0011658254238372963,0.0011658254238372963,0.0,1e-06,PASS
n3_summary,M4_SYM,,,peak_stress_GPa_mean,8.775314010780603,8.775314010780603,0.0,1e-06,PASS
n3_summary,M4_SYM,,,peak_stress_GPa_sample_SD,0.1010482719349113,0.1010482719349113,0.0,1e-06,PASS
n3_summary,M4_SYM,,,peak_stress_GPa_min,8.67327088538376,8.67327088538376,0.0,1e-06,PASS
n3_summary,M4_SYM,,,peak_stress_GPa_max,8.87533714162194,8.87533714162194,0.0,1e-06,PASS
n3_summary,M4_SYM,,,peak_stress_GPa_CV,0.011515060522138808,0.011515060522138808,0.0,1e-06,PASS
n3_summary,M4_SYM,,,peak_strain_percent_mean,17.5099999999998,17.5099999999998,0.0,1e-06,PASS
n3_summary,M4_SYM,,,peak_strain_percent_sample_SD,0.37161808352124204,0.37161808352124204,0.0,1e-06,PASS
n3_summary,M4_SYM,,,peak_strain_percent_min,17.1199999999998,17.1199999999998,0.0,1e-06,PASS
n3_summary,M4_SYM,,,peak_strain_percent_max,17.8599999999998,17.8599999999998,0.0,1e-06,PASS
n3_summary,M4_SYM,,,peak_strain_percent_CV,0.021223191520345304,0.021223191520345304,0.0,1e-06,PASS
n3_summary,M4_SYM,,,F50_raw_first_row_percent_mean,17.903333333333133,17.903333333333133,0.0,1e-06,PASS
n3_summary,M4_SYM,,,F50_raw_first_row_percent_sample_SD,0.3523256069793031,0.3523256069793031,0.0,1e-06,PASS
n3_summary,M4_SYM,,,F50_raw_first_row_percent_min,17.5299999999998,17.5299999999998,0.0,1e-06,PASS
n3_summary,M4_SYM,,,F50_raw_first_row_percent_max,18.2299999999998,18.2299999999998,0.0,1e-06,PASS
n3_summary,M4_SYM,,,F50_raw_first_row_percent_CV,0.01967933012358818,0.01967933012358818,0.0,1e-06,PASS
