model,state,target_strain_percent,actual_strain_percent,frame_index,timestep,selected_matrix_atoms,selected_matrix_volume_A3,total_DXA_line_length_A,DXA_line_density_nm^-2,normalized_line_length_A_per_100k_matrix_atoms,line_segment_count,DXA_count_FCC,DXA_count_HCP,DXA_count_OTHER,box_x_A,box_y_A,box_z_A,length_1/6<112>_A,length_1/2<110>_A,length_1/6<110>_A,length_1/3<100>_A,length_1/3<111>_A,length_other_A,snapshot_path
M3_SYM,initial,0.0,-5.81282725061591e-14,0,0,278016,3958142.883442016,274.815313750738,0.006943036718062023,98.84874027060962,17,258667,76,198985,146.68443532736592,146.68443532736592,317.2359583401252,274.815313750738,0.0,0.0,0.0,0.0,0.0,D:\leng\AlCu_MAIN_PPP_Zhou\figures\Fig7_stage1_DXA_pilot\raw_snapshots\Fig7_stage1_DXA_M3_SYM_initial.png
M3_SYM,15pct,15.0,14.9999999999999,150,150000,278016,4551864.315958317,2444.6221956036884,0.053705954877282296,879.3098942520172,118,84120,21161,352447,168.6871006264708,146.68443532736592,317.2359583401252,2295.1986981402706,61.920216519375266,15.816028967458323,57.111900450329735,0.0,14.575351526253428,D:\leng\AlCu_MAIN_PPP_Zhou\figures\Fig7_stage1_DXA_pilot\raw_snapshots\Fig7_stage1_DXA_M3_SYM_15pct.png
M3_SYM,F50,19.2,19.1999999999999,192,192000,278016,4718106.317062884,2685.9868096606615,0.05692934048448367,966.1267012188729,198,63001,15961,378766,174.8478469102202,146.68443532736592,317.2359583401252,2506.4015064212435,0.0,12.752486351760997,79.17100885923034,9.65074709148456,78.01106093694202,D:\leng\AlCu_MAIN_PPP_Zhou\figures\Fig7_stage1_DXA_pilot\raw_snapshots\Fig7_stage1_DXA_M3_SYM_F50.png
M4_RATIO,initial,0.0,1.17116319599619e-13,0,0,277758,3899590.2870154902,1045.1990404564588,0.02680279115312882,376.29844701375254,89,244458,888,230584,145.60759522277516,145.58329672763648,331.60460908288013,639.4949349164608,9.529697491286761,371.98124353024696,16.309762679512154,0.0,7.883401838951638,D:\leng\AlCu_MAIN_PPP_Zhou\figures\Fig7_stage1_DXA_pilot\raw_snapshots\Fig7_stage1_DXA_M4_RATIO_initial.png
M4_RATIO,15pct,15.0,15.0000000000001,150,150000,277758,4484528.830067813,1962.4897929758497,0.04376133741894516,706.5466315914753,168,28875,41452,405603,167.44873450619144,145.58329672763648,331.60460908288013,1789.4752127485278,0.0,49.04151973085101,15.72094427804921,0.0,108.25211621842136,D:\leng\AlCu_MAIN_PPP_Zhou\figures\Fig7_stage1_DXA_pilot\raw_snapshots\Fig7_stage1_DXA_M4_RATIO_15pct.png
M4_RATIO,F50,17.98,18.0000000000001,180,180000,277758,4601516.538678278,2130.5767521871035,0.04630162109118665,767.0622456192453,146,19728,46876,409326,171.8169623628747,145.58329672763648,331.60460908288013,1898.2587154839057,10.454976360834252,104.12160458397123,45.08768550986104,0.0,72.65377024853265,D:\leng\AlCu_MAIN_PPP_Zhou\figures\Fig7_stage1_DXA_pilot\raw_snapshots\Fig7_stage1_DXA_M4_RATIO_F50.png
M4_SYM,initial,0.0,7.7959221699448e-14,0,0,277758,3912089.521909291,0.0,0.0,0.0,0,259664,0,221082,145.82859505692213,145.82859505692213,328.21374085390255,0.0,0.0,0.0,0.0,0.0,0.0,D:\leng\AlCu_MAIN_PPP_Zhou\figures\Fig7_stage1_DXA_pilot\raw_snapshots\Fig7_stage1_DXA_M4_SYM_initial.png
M4_SYM,15pct,15.0,15.0000000000001,150,150000,277758,4498902.950195685,4278.067480703437,0.0950913484479001,1540.2139562869247,287,35657,47905,397184,167.70288431546044,145.82859505692213,328.21374085390255,3840.8860511472894,44.635990490681024,26.91924474886684,0.0,0.0,365.62619431659664,D:\leng\AlCu_MAIN_PPP_Zhou\figures\Fig7_stage1_DXA_pilot\raw_snapshots\Fig7_stage1_DXA_M4_SYM_15pct.png
M4_SYM,F50,17.74,17.7000000000001,177,177000,277758,4604529.367287235,1367.4008453340928,0.02969686446238693,492.29935603442306,112,17360,44150,419236,171.64025638199732,145.82859505692213,328.21374085390255,1171.7579150058434,9.319449464217774,33.43344300624458,18.913172900279413,0.0,133.9768649575077,D:\leng\AlCu_MAIN_PPP_Zhou\figures\Fig7_stage1_DXA_pilot\raw_snapshots\Fig7_stage1_DXA_M4_SYM_F50.png
