model,state,frame_index,actual_strain_percent,source_dump,snapshot_npz,display_depth_A,central_slab_atom_count,central_slab_overlap_candidate_count,central_slab_full3d_largest_cluster_count,formal_full3d_largest_cluster_count,formal_selected_al_matrix_atom_count,view_note
M3_SYM,15pct,150,15,D:\leng\AlCu_MAIN_PPP_Zhou\dumps\M3_SYM_tensile_x25_xy_z_clean_light.lammpstrj,D:\leng\AlCu_MAIN_PPP_Zhou\figures\Fig4_finalization_workflow\stage2_layout_candidates\snapshots\Fig4_stage2_points_M3_SYM_15pct.npz,50.0,155984,4,1,1,124128,slab/projection view; metric uses full-3D connected components
M3_SYM,F50,192,19.2,D:\leng\AlCu_MAIN_PPP_Zhou\dumps\M3_SYM_tensile_x25_xy_z_clean_light.lammpstrj,D:\leng\AlCu_MAIN_PPP_Zhou\figures\Fig4_finalization_workflow\stage2_layout_candidates\snapshots\Fig4_stage2_points_M3_SYM_F50.npz,50.0,153456,2917,2248,5267,124128,slab/projection view; metric uses full-3D connected components
M4_RATIO,15pct,150,15,D:\leng\AlCu_MAIN_PPP_Zhou\dumps\M4_SYM_RATIO_tensile_x25_xy_z_clean_light.lammpstrj,D:\leng\AlCu_MAIN_PPP_Zhou\figures\Fig4_finalization_workflow\stage2_layout_candidates\snapshots\Fig4_stage2_points_M4_RATIO_15pct.npz,50.0,163623,125,0,4,124128,slab/projection view; metric uses full-3D connected components
M4_RATIO,F50,180,18,D:\leng\AlCu_MAIN_PPP_Zhou\dumps\M4_SYM_RATIO_tensile_x25_xy_z_clean_light.lammpstrj,D:\leng\AlCu_MAIN_PPP_Zhou\figures\Fig4_finalization_workflow\stage2_layout_candidates\snapshots\Fig4_stage2_points_M4_RATIO_F50.npz,50.0,152007,2762,2493,6103,124128,slab/projection view; metric uses full-3D connected components
M4_SYM,15pct,150,15,D:\leng\AlCu_MAIN_PPP_Zhou\dumps\M4_SYM_tensile_x25_xy_z_clean_light.lammpstrj,D:\leng\AlCu_MAIN_PPP_Zhou\figures\Fig4_finalization_workflow\stage2_layout_candidates\snapshots\Fig4_stage2_points_M4_SYM_15pct.npz,50.0,164872,2,0,2,124128,slab/projection view; metric uses full-3D connected components
M4_SYM,F50,177,17.7,D:\leng\AlCu_MAIN_PPP_Zhou\dumps\M4_SYM_tensile_x25_xy_z_clean_light.lammpstrj,D:\leng\AlCu_MAIN_PPP_Zhou\figures\Fig4_finalization_workflow\stage2_layout_candidates\snapshots\Fig4_stage2_points_M4_SYM_F50.npz,50.0,160159,2083,1928,3782,124128,slab/projection view; metric uses full-3D connected components
