model,state,target_strain_percent,actual_strain_percent,frame_index,source_dump,snapshot_npz,display_depth_A,central_slab_atom_count,central_slab_overlap_candidate_count,selection_region_note
M3_SYM,initial,19.2,0,0,D:\leng\AlCu_MAIN_PPP_Zhou\dumps\M3_SYM_tensile_x25_xy_z_clean_light.lammpstrj,D:\leng\AlCu_MAIN_PPP_Zhou\figures\Fig3_finalization_workflow\snapshots\Fig3_points_M3_SYM_initial.npz,50.0,156474,0,central Y-slab display; highlighted atoms are central-Al-matrix D2min-deltaPE overlap candidates
M3_SYM,15pct,15.0,15,150,D:\leng\AlCu_MAIN_PPP_Zhou\dumps\M3_SYM_tensile_x25_xy_z_clean_light.lammpstrj,D:\leng\AlCu_MAIN_PPP_Zhou\figures\Fig3_finalization_workflow\snapshots\Fig3_points_M3_SYM_15pct.npz,50.0,155984,4,central Y-slab display; highlighted atoms are central-Al-matrix D2min-deltaPE overlap candidates
M3_SYM,F50,19.2,19.2,192,D:\leng\AlCu_MAIN_PPP_Zhou\dumps\M3_SYM_tensile_x25_xy_z_clean_light.lammpstrj,D:\leng\AlCu_MAIN_PPP_Zhou\figures\Fig3_finalization_workflow\snapshots\Fig3_points_M3_SYM_F50.npz,50.0,153456,2917,central Y-slab display; highlighted atoms are central-Al-matrix D2min-deltaPE overlap candidates
M4_RATIO,initial,17.98,0,0,D:\leng\AlCu_MAIN_PPP_Zhou\dumps\M4_SYM_RATIO_tensile_x25_xy_z_clean_light.lammpstrj,D:\leng\AlCu_MAIN_PPP_Zhou\figures\Fig3_finalization_workflow\snapshots\Fig3_points_M4_RATIO_initial.npz,50.0,162841,0,central Y-slab display; highlighted atoms are central-Al-matrix D2min-deltaPE overlap candidates
M4_RATIO,15pct,15.0,15,150,D:\leng\AlCu_MAIN_PPP_Zhou\dumps\M4_SYM_RATIO_tensile_x25_xy_z_clean_light.lammpstrj,D:\leng\AlCu_MAIN_PPP_Zhou\figures\Fig3_finalization_workflow\snapshots\Fig3_points_M4_RATIO_15pct.npz,50.0,163623,125,central Y-slab display; highlighted atoms are central-Al-matrix D2min-deltaPE overlap candidates
M4_RATIO,F50,17.98,18,180,D:\leng\AlCu_MAIN_PPP_Zhou\dumps\M4_SYM_RATIO_tensile_x25_xy_z_clean_light.lammpstrj,D:\leng\AlCu_MAIN_PPP_Zhou\figures\Fig3_finalization_workflow\snapshots\Fig3_points_M4_RATIO_F50.npz,50.0,152007,2762,central Y-slab display; highlighted atoms are central-Al-matrix D2min-deltaPE overlap candidates
M4_SYM,initial,17.74,0,0,D:\leng\AlCu_MAIN_PPP_Zhou\dumps\M4_SYM_tensile_x25_xy_z_clean_light.lammpstrj,D:\leng\AlCu_MAIN_PPP_Zhou\figures\Fig3_finalization_workflow\snapshots\Fig3_points_M4_SYM_initial.npz,50.0,164769,0,central Y-slab display; highlighted atoms are central-Al-matrix D2min-deltaPE overlap candidates
M4_SYM,15pct,15.0,15,150,D:\leng\AlCu_MAIN_PPP_Zhou\dumps\M4_SYM_tensile_x25_xy_z_clean_light.lammpstrj,D:\leng\AlCu_MAIN_PPP_Zhou\figures\Fig3_finalization_workflow\snapshots\Fig3_points_M4_SYM_15pct.npz,50.0,164872,2,central Y-slab display; highlighted atoms are central-Al-matrix D2min-deltaPE overlap candidates
M4_SYM,F50,17.74,17.7,177,D:\leng\AlCu_MAIN_PPP_Zhou\dumps\M4_SYM_tensile_x25_xy_z_clean_light.lammpstrj,D:\leng\AlCu_MAIN_PPP_Zhou\figures\Fig3_finalization_workflow\snapshots\Fig3_points_M4_SYM_F50.npz,50.0,160159,2083,central Y-slab display; highlighted atoms are central-Al-matrix D2min-deltaPE overlap candidates
